model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
pinn,100.0,23.0,0.05,10,27,7.095045390484192,7.046108604402403,6.884740153956355
pinn,1000.0,23.0,0.05,10,27,17.72525291274849,18.43760801884371,16.862309465042312
magi,,23.0,0.05,10,28,0.5270217669806277,2.0973235573867433,2.1865300113162314
pinn,0.1,23.0,0.05,10,28,0.30757175715817414,0.20574025162539436,0.22045793094354066
pinn,1.0,23.0,0.05,10,28,0.853078070297919,2.6795586554655015,0.9199144780099576
pinn,10.0,23.0,0.05,10,28,3.062621499724707,5.1723058338071795,3.584540638629441
pinn,100.0,23.0,0.05,10,28,6.9507327449684055,8.444510510513624,7.450043793172203
pinn,1000.0,23.0,0.05,10,28,17.813080618615892,22.849413180857596,20.358078847398
magi,,23.0,0.05,10,29,0.3328503845186025,2.4266868465572213,2.2258792552728504
pinn,0.1,23.0,0.05,10,29,0.3107498115032891,0.2148912130627279,0.2257693940235308
pinn,1.0,23.0,0.05,10,29,1.2027492076497004,2.202532313735396,1.9114827133526031
pinn,10.0,23.0,0.05,10,29,3.735396016430302,5.752126361152374,4.855387976960856
pinn,100.0,23.0,0.05,10,29,8.368055584939043,10.150446971460717,11.715023808273559
pinn,1000.0,23.0,0.05,10,29,20.8266522688516,23.511427857952526,31.040877450951346
magi,,23.0,0.05,10,30,0.4068717467958043,1.563484862571224,2.5113393223643894
pinn,0.1,23.0,0.05,10,30,0.22738263278895035,0.2337984846199403,0.3094863448965458
pinn,1.0,23.0,0.05,10,30,1.5597900825023163,2.3915218150598214,3.1541032687286186
pinn,10.0,23.0,0.05,10,30,2.8189128951035274,4.3023396800924605,2.943888976928595
pinn,100.0,23.0,0.05,10,30,7.9800228121892065,7.364426590120113,6.514902974855855
pinn,1000.0,23.0,0.05,10,30,20.6979560716679,22.23358277435841,17.199163833108976
magi,,23.0,0.05,10,31,0.4766416164172815,1.766319401819701,2.251570999133082
pinn,0.1,23.0,0.05,10,31,0.2960071917997954,0.1983523614465216,0.23011352470500282
pinn,1.0,23.0,0.05,10,31,1.0200631417915,0.8329976949880362,1.1521534165466814
pinn,10.0,23.0,0.05,10,31,2.185068568758009,2.7500397870611435,2.1776473047710176
pinn,100.0,23.0,0.05,10,31,6.664970182930198,6.823403707376561,6.524261546536266
pinn,1000.0,23.0,0.05,10,31,18.71728023326443,16.740652329523524,16.556873024610784
magi,,23.0,0.05,10,32,0.32197725004999045,2.4142498512720643,1.8486659323839683
pinn,0.1,23.0,0.05,10,32,0.32150382451933485,0.19079079956151557,0.21667352897724548
pinn,1.0,23.0,0.05,10,32,1.1363180745983505,1.6765151744299942,2.4134422644880447
pinn,10.0,23.0,0.05,10,32,4.265222107698032,7.9605596443210835,5.34946272844177
