model,lmbda,rho,alpha,dobs,seed,betahat,betahat_LB,betahat_UB,betahat_err,rhohat,rhohat_LB,rhohat_UB,rhohat_err,sigmahat,sigmahat_LB,sigmahat_UB,sigmahat_err,X_rmse,Y_rmse,Z_rmse
magi,,23.0,0.05,10,62,2.6644581824094993,2.577171630129553,2.753125782967484,-0.0022084842571672425,22.769249892648418,22.461406220738578,23.094040830485262,-0.2307501073515823,9.167235880022863,8.391827672745936,9.997815633434996,-0.8327641199771367,0.3677739962387442,0.46717387194949467,0.5847617212005666
magi,,23.0,0.05,10,63,2.669947420373477,2.5679899588837936,2.772013383584406,0.0032807537068104686,22.96728420170771,22.62144068648525,23.31343388789664,-0.03271579829229054,9.161628019816913,8.348227625914177,9.993101061457844,-0.8383719801830871,0.4305681628307533,0.4806433434953898,0.5331138685549545
magi,,23.0,0.05,10,64,2.685637304037661,2.5795412604566414,2.787719619671971,0.01897063737099458,22.93953797921674,22.5820103164378,23.301417653967853,-0.06046202078325891,8.49584799504664,7.818269788218242,9.232983827000664,-1.5041520049533599,0.4870358700505745,0.6351707619457744,0.6445368319106366
magi,,23.0,0.05,10,65,2.629451537056335,2.530983018117893,2.7321450619183634,-0.037215129610331577,22.76157789448093,22.418680147255664,23.103310383854378,-0.23842210551907073,8.890903845936187,8.101269611805819,9.73588946036454,-1.1090961540638133,0.34928770701989553,0.40510044082399377,0.5103317242331298
magi,,23.0,0.05,10,66,2.7245505027578742,2.620291301289322,2.8264548597180896,0.05788383609120773,23.120677131819384,22.769492846567495,23.462130488247926,0.12067713181938444,8.040060277018885,7.398549906702939,8.73962263498736,-1.9599397229811153,0.5235714823268224,0.6664704350197355,0.649311671558306
magi,,23.0,0.05,10,67,2.592777938818178,2.5068276623544263,2.6794881901705216,-0.07388872784848832,22.732591314831282,22.42430506128254,23.034222955420113,-0.26740868516871785,8.644387502521155,7.911870463792481,9.46689147011067,-1.3556124974788446,0.4775947422267926,0.5366576791276891,0.6220214066980394
magi,,23.0,0.05,10,68,2.5988721204433376,2.4937976658809906,2.703906839376798,-0.06779454622332892,22.681996877218474,22.32079930843842,23.05188365142874,-0.3180031227815263,9.067707325857958,8.21275346906431,10.008038521050153,-0.9322926741420421,0.30735412867137607,0.43856030912645877,0.5476406976467273
magi,,23.0,0.05,10,69,2.670432170293381,2.571835996789416,2.7698428142538547,0.0037655036267145725,22.943628001876824,22.6125753307477,23.26803327368981,-0.056371998123175615,8.944670843693295,8.159628832844994,9.80475728859581,-1.0553291563067049,0.3549649871072976,0.46508192347239696,0.593275600319744
magi,,23.0,0.05,10,7,2.6756144464328737,2.5721544666623997,2.780978102192606,0.008947779766207198,22.330334148952034,21.96470446748749,22.692117802666058,-0.6696658510479665,9.447914002712194,8.61606440556511,10.359045300075177,-0.552085997287806,0.31407581067558865,0.37450835271867444,0.6717083242042905
magi,,23.0,0.05,10,70,2.713176394437381,2.6301688800907694,2.799262247269228,0.04650972777071427,22.754714240345294,22.47027758286054,23.038638980332895,-0.24528575965470623,8.08232001509521,7.480436741905036,8.741075230748468,-1.9176799849047903,0.5464261330268142,0.507816646832658,0.6557955892851688
magi,,23.0,0.05,10,71,2.6617862347548784,2.556285513393606,2.7674978878476697,-0.004880431911788108,22.740049409020216,22.35785540666989,23.12004635076199,-0.2599505909797841,9.210560849769871,8.38771929117268,10.11112924766693,-0.7894391502301286,0.47004920594108535,0.5180424058320849,0.6913723412631455
magi,,23.0,0.05,10,72,2.6350802801333653,2.533033959023799,2.734092580936343,-0.03158638653330126,23.04538111142222,22.67137179798824,23.40938587071319,0.04538111142221979,8.839126962761398,8.060676795233848,9.749452375653133,-1.160873037238602,0.36121389994817343,0.4449515015432564,0.5113815376720505
magi,,23.0,0.05,10,73,2.660866608337149,2.569382578906722,2.7546405127487543,-0.005800058329517466,23.158717555587252,22.85721049666265,23.45994350159269,0.15871755558725198,8.85024508617606,8.048704963249513,9.67437749459114,-1.1497549138239407,0.35372016580530746,0.45203612613770705,0.6048923920502262
magi,,23.0,0.05,10,74,2.6593159733045364,2.558121015000947,2.7605725627431252,-0.007350693362130123,22.887013400209472,22.534543124809275,23.24802430141247,-0.11298659979052772,8.839986450936955,8.009713972561487,9.728948364264443,-1.160013549063045,0.31798779723714066,0.4428289771099353,0.6363940672991639
magi,,23.0,0.05,10,75,2.612788231145297,2.505461301180741,2.7145325087816707,-0.05387843552136973,22.77377638318042,22.389926770116052,23.156663962890473,-0.22622361681958125,9.483446169567262,8.641859715343772,10.36306329793022,-0.5165538304327377,0.2946605260288685,0.3566017688898482,0.45659988968270687
magi,,23.0,0.05,10,76,2.685963065103201,2.58656629121935,2.788944162378712,0.019296398436534634,22.877263383168295,22.555535444559315,23.201816476464835,-0.12273661683170545,9.091526374858807,8.306397012165002,9.922801833024772,-0.9084736251411929,0.2972858449839506,0.3953186831686597,0.5488962204163051
magi,,23.0,0.05,10,77,2.612270295179266,2.50740791499972,2.7198640464214026,-0.05439637148740051,23.00203559447796,22.618077661582436,23.392885303013276,0.0020355944779595347,9.040538155252225,8.15792593823894,9.924392776332628,-0.959461844747775,0.2659253930599621,0.45306472040046086,0.5537954835786572
